Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Volume_SMA_20
2025-06-16,12271.184106581704,12432.43878324833,12203.91221692937,12395.8349609375,184242,,,,,,,,
2025-06-17,12394.84536879094,12479.924521294412,12336.477113003672,12460.138671875,226597,,,,,,,,
2025-06-18,12484.871534689266,12742.087588494274,12415.62105866484,12611.5009765625,467738,,,,,,,,
2025-06-19,12613.479502253582,12687.676440502131,12577.864971894278,12668.8798828125,339117,,,,,,,,
2025-06-20,12671.84730360031,12751.979994020454,12591.714613180166,12654.0400390625,652128,,,,,,,,
2025-06-23,12634.254450245837,12649.093837666844,12530.378738298785,12563.025390625,192037,,,,,,,,
2025-06-24,12692.6228319089,12717.35514451979,12418.588808180237,12475.9677734375,332717,,,,,,,,
2025-06-25,12548.18657078552,12669.869553141769,12481.90397064025,12630.2978515625,316536,,,,,,,,
2025-06-26,12643.158506500688,12710.430398397562,12553.132886462225,12578.8544921875,354735,,,,,,,,
2025-06-27,12613.479331821754,12661.954664155815,12485.860599758616,12506.6357421875,346403,,,,,,,,
2025-06-30,12531.367650579636,12539.28199029738,12199.954674899192,12267.2265625,448956,,,,,,,,
2025-07-01,12316.691683787776,12325.595316330273,12188.083658173928,12308.77734375,283481,,,,,,,,
2025-07-02,12247.440830618169,12507.624751333238,12226.66568865993,12486.849609375,609735,,,,,,,,
2025-07-03,12494.764322355071,12682.72989806746,12455.192622205095,12615.4580078125,606221,,,,58.24664771610534,,,,
2025-07-04,12578.853954946846,12611.500606973055,12472.999658983075,12510.5927734375,225607,,,,53.99447968292169,,,,
2025-07-07,12511.582533181285,12534.336261200828,12337.467049205645,12385.9423828125,220116,,,,49.379857877999214,,,,
2025-07-08,12390.888616415314,12420.567391544451,12226.666060700749,12281.0771484375,241050,,,,45.831151297530425,,,,
2025-07-09,12301.852301382693,12405.728014422111,12296.905838857008,12336.4775390625,174203,,,,47.95895821560032,,,,
2025-07-10,12366.155933485672,12534.335654181075,12268.215978492464,12514.5498046875,277325,,,,54.18811060537242,,,,
2025-07-11,12504.657564716876,12549.175728515314,12386.931753783228,12439.3642578125,194420,,,12484.574560546875,51.391102832342916,,,,334668.2
2025-07-14,12455.19306891906,12480.914674939067,12297.89555518132,12380.0068359375,246737,,,12474.615729631696,49.23062238171961,,,,337792.95
2025-07-15,12347.359421506686,12463.106641466326,12347.359421506686,12401.7705078125,147377,,,12467.678089458439,50.05962523205832,,,,333831.95
2025-07-16,12401.770513719755,12436.395750476311,12305.809143280156,12429.470703125,204480,,,12464.039290760016,51.152897512330334,,,,320669.05
2025-07-17,12434.417287363614,12491.796251693875,12329.552283587616,12342.4130859375,189207,,,12452.45584268168,47.6242118763834,,,,313173.55
2025-07-18,12390.888441475763,12392.86702645644,12237.548105473468,12286.0234375,124068,,,12436.605137426282,45.43777433734236,,,,286770.55
2025-07-21,12297.895433891325,12344.3921827766,12209.848398768136,12272.173828125,232066,,,12420.945012730921,44.89263540965718,-73.30054415444283,,,288772.0
2025-07-22,12315.702609044787,12395.835303344142,12187.094581156942,12358.2421875,169006,,,12414.973315089881,48.9885290939923,-69.66034171850879,,,280586.45
2025-07-23,12405.728424210023,12582.811788479052,12405.728424210023,12491.796875,342005,,,12422.289844605131,54.624407750598294,-55.360546029744,,,281859.9
2025-07-24,12512.57151576312,12525.432318238209,12384.952783510318,12422.5458984375,157163,,,12422.314230684404,51.45022094841068,-49.050407412141794,,,271981.3
2025-07-25,12410.674817362971,12422.546327750246,12224.687821295676,12271.1845703125,260700,,,12407.920929696604,45.25965078707769,-55.62199555462212,,,267696.15
2025-07-28,12238.5372073478,12400.781173236172,12170.276026577694,12207.869140625,292879,,,12388.868378356452,42.93257943268014,-65.18761033585724,,,259892.3
2025-07-29,12207.869547728367,12373.081396550946,12136.640487158153,12335.48828125,285115,,,12383.78455958441,48.66220988828031,-61.75871485436255,,,259974.0
2025-07-30,12297.894883394503,12507.624890254743,12287.012666057415,12482.892578125,203847,,,12393.223418493038,54.3618264034538,-46.60970793320121,,,239679.6
2025-07-31,12372.092163705584,12623.372461928931,12330.54187817259,12473.0,709783,,,12400.821188160367,53.929097754059285,-34.99881463532802,21.83992787891738,-56.838742514245396,244857.7
2025-08-01,12521.0,12779.0,12273.0,12302.0,346024,,,12391.40964643081,46.96915507783019,-39.14413966252141,14.155682281379192,-53.299821943900604,250878.55
2025-08-04,12326.0,12425.0,12225.0,12365.0,255693,,,12388.894442008828,49.55232393021996,-36.920173348640674,13.10371887620795,-50.02389222484862,252657.4
2025-08-05,12400.0,12577.0,12370.0,12537.0,233560,,,12402.999733246083,55.87220692040589,-21.036209161427905,23.190146450736577,-44.22635561216448,252282.9
2025-08-06,12570.0,12619.0,12483.0,12524.0,151608,,,12414.523568175027,55.30823528329534,-9.388816032855175,27.870031663447442,-37.25884769630262,251153.15
2025-08-07,12525.0,12654.0,12429.0,12632.0,173393,,,12435.235609301215,59.009965840446526,8.45901409389262,36.57428943215619,-28.115275338263572,245956.55
2025-08-08,12630.0,12725.0,12564.0,12590.0,247048,,,12449.975075082051,57.03161554289656,18.99553041435138,37.68864460209196,-18.693114187740584,248587.95
2025-08-11,12585.0,12734.0,12482.0,12597.0,187230,,,12463.977448883761,57.28862835947908,27.592567070956648,37.028545006957785,-9.435977936001137,245612.6
2025-08-12,12620.0,12959.0,12606.0,12840.0,504476,,,12499.789120418642,65.09407595248014,53.39830727688968,50.267428170312655,3.1308791065770274,263467.55
2025-08-13,12840.0,12925.0,12752.0,12834.0,252065,,,12531.618727997818,64.7792865420654,72.52931960601927,55.51875239955379,17.010567206465478,265846.8
2025-08-14,12864.0,12956.0,12825.0,12936.0,318580,,,12570.131230093264,67.64391450459412,94.82821166324356,62.25411556542247,32.5740960978211,272315.45
2025-08-18,13703.0,14125.0,13664.0,14068.0,2154781,,,12712.78539865581,83.59289587042234,201.52018450963806,135.15687072945354,66.3633137801845,373851.1
2025-08-19,14070.0,14270.0,13979.0,14250.0,906623,,,12859.186789260018,84.88307518323141,297.33275372536446,184.77555195614394,112.5572017692205,407578.95
2025-08-20,14362.0,14362.0,14200.0,14221.0,391425,,,12988.88328552097,83.7529423148034,366.6977836952319,203.31246554080911,163.3853181544228,418699.9
2025-08-21,14219.0,14401.0,14156.0,14280.0,513460,,,13111.84678213802,84.21344736782426,421.5712654813651,206.54875786155384,215.02250761981128,427272.65
2025-08-22,14349.0,14370.0,14230.0,14349.0,458935,,,13229.670898124874,84.7575686196749,465.26335217441374,200.19267564368192,265.0706765307318,442361.25
2025-08-25,14401.0,14478.0,14280.0,14452.0,357110,12692.4673828125,,13346.083193541552,85.55779822121858,502.40942178094156,189.87099620016778,312.5384255807738,447181.75
2025-08-26,14452.0,14825.0,14391.0,14714.0,962974,12738.83068359375,,13476.360984632833,87.37367391341925,546.6872891731673,187.31909087391477,359.3681982992525,480686.5
2025-08-28,14895.0,14895.0,14625.0,14752.0,666635,12784.66791015625,,13597.850414667802,87.61686645520241,578.1792104727956,175.04880973883445,403.13040073396115,499762.5
2025-08-29,14750.0,14850.0,14692.0,14791.0,621560,12828.257890625,,13711.483708508964,87.87498617613109,599.3745424258068,156.9953133534765,442.3792290723303,520648.15
2025-09-01,14790.0,14938.0,14654.0,14887.0,572927,12872.62029296875,,13823.437641031918,88.50988748332705,616.8082122758751,139.54318656283579,477.26502571303934,513805.35
2025-09-02,14859.0,14934.0,14783.0,14842.0,379167,12916.3794921875,,13920.44357998126,86.23053738763434,619.8481734145244,114.06651816118796,505.7816552533364,515462.5
