Stock,Close,SMA_50,SMA_200,EMA_20,RSI_14,MACD,MACD_Signal,Trend_Score,RSI_Score,MACD_Score,EMA_Score,Volume_Score,TA_Score,TA_Signal
ICICI_Bank,1334.3,1285.94,1346.38,1285.06,64.03,13.65,2.84,7.5,10,10,10,0,37.5,BUY
Maruti,13691.0,13259.6,14872.32,13247.62,62.54,63.14,-16.53,7.5,10,10,10,0,37.5,BUY
Mahindra&Mahindra,3137.9,3124.19,3415.25,3063.6,55.79,-18.77,-33.78,7.5,10,5,10,5,37.5,BUY
HDFC_Bank,784.9,773.72,901.28,761.04,59.96,-1.91,-6.76,7.5,10,5,10,0,32.5,HOLD
Airtel,1853.0,1841.81,1952.14,1827.65,54.58,-7.72,-10.06,7.5,10,5,10,0,32.5,HOLD
Eternal,253.6,248.52,281.87,247.87,54.83,-0.07,-0.15,7.5,10,5,10,0,32.5,HOLD
Reliance,1328.8,1345.34,1416.52,1310.91,52.63,-17.94,-21.09,0.0,10,5,10,5,30.0,HOLD
HUL,2199.9,2214.02,2347.65,2165.62,53.8,-17.24,-26.19,0.0,10,5,10,0,25.0,HOLD
ITC,291.65,293.94,338.85,287.41,54.02,-2.76,-3.75,0.0,10,5,10,0,25.0,HOLD
Sun_Pharma,1800.7,1784.74,1720.84,1805.5,48.52,-4.06,-1.39,15.0,6,0,0,0,21.0,HOLD
NTPC,355.55,385.59,352.88,368.17,34.2,-10.58,-8.47,7.5,6,0,0,5,18.5,SELL
Dr_Reddys,1276.9,1283.27,1264.52,1285.19,45.84,-6.22,-4.14,7.5,6,0,0,0,13.5,SELL
Tata_Steel,196.0,205.52,184.48,201.64,38.59,-2.73,-1.67,7.5,6,0,0,0,13.5,SELL
Infosys,1143.6,1177.09,1385.3,1151.04,47.18,-8.64,-6.74,0.0,6,0,0,0,6.0,SELL
TCS,2199.0,2347.66,2764.16,2229.64,43.52,-50.66,-48.44,0.0,6,0,0,0,6.0,SELL
