Stock,Ticker,currentPrice,marketCap,trailingPE,priceToBook,returnOnEquity,debtToEquity,trailingEps,revenueGrowth,earningsGrowth,dividendYield,fiftyTwoWeekHigh,fiftyTwoWeekLow
Reliance,RELIANCE.NS,1328.8,17981950132224,22.246778,1.9890877,0.09139,36.653,59.73,0.125,-0.126,0.46,1611.8,1253.2
TCS,TCS.NS,2199.0,7956174209024,16.170305,7.4190283,0.48395002,10.389,135.99,0.096,0.122,5.74,3538.0,2110.0
Infosys,INFY.NS,1143.6,4629984706560,15.039453,4.964113,0.31439,9.827,76.04,0.066,0.118,4.41,1728.0,1089.0
HDFC_Bank,HDFCBANK.NS,784.9,12085531508736,17.500559,2.061685,0.13818,N/A,44.85,-0.018,0.075,1.67,1020.5,726.65
ICICI_Bank,ICICIBANK.NS,1334.3,9568811745280,17.852556,2.6318283,0.16359,N/A,74.74,0.669,0.084,0.83,1500.0,1187.6
HUL,HINDUNILVR.NS,2199.9,5168865738752,48.584362,10.605198,0.21603,3.016,45.28,0.043,0.214,2.04,2750.0,2022.5
ITC,ITC.NS,291.65,3654219464704,17.675756,5.0400925,0.2934,3.292,16.5,-0.05,-0.727,5.56,427.0,275.05
Sun_Pharma,SUNPHARMA.NS,1800.7,4320482295808,37.62432,5.1751986,0.1472,5.517,47.86,0.128,0.256,0.89,1916.6,1548.0
Dr_Reddys,DRREDDY.NS,1276.9,1063279132672,24.823095,2.8198595,0.11835,20.328,51.44,-0.116,-0.862,0.63,1375.9,1148.4
Maruti,MARUTI.NS,13691.0,4304485482496,29.341421,4.0169973,0.14434,0.096,466.61,0.282,-0.064,1.01,17370.0,12201.0
Mahindra&Mahindra,M&M.NS,3137.9,3767871733760,20.599356,3.7664533,0.18754,125.066,152.33,0.309,0.448,1.05,3839.9,2896.0
Airtel,BHARTIARTL.NS,1853.0,11287497015296,41.762455,7.267522,0.19358999,99.718,44.37,0.157,-0.34,0.87,2174.5,1740.5
Tata_Steel,TATASTEEL.NS,196.0,2444482314240,22.685184,2.3948584,0.11156999,89.017,8.64,0.125,1.252,2.03,224.4,150.48
NTPC,NTPC.NS,355.55,3447649730560,11.672686,1.6975898,0.13695,118.127,30.46,0.08,-0.016,3.26,414.4,315.55
Eternal,Eternal.NS,253.6,2331571126272,667.36847,7.496527,0.01194,14.826,0.38,1.965,3.75,N/A,368.45,212.6
