Stock,ROCE,Promoter_Holding,Rev_CAGR_3Y,PAT_CAGR_3Y,OPM
Reliance,10.3%, 50.0%, 6%, 3%, 17%
TCS,63.0% ,71.8%, 6% ,8%,27%
Infosys,40%,14.4%,7%,8%,24%
HDFC_Bank,7.04%,0.00%,27%,18%,NA
ICICI_Bank,7.20%,00.%,17%,17%,NA
HUL,28.4%,61.9%,2%,14%,23%
ITC,38.9%,0%,4%,3%,35%
Sun_Pharma,20.5%,54.5%,10%,13%,30%
Dr_Reddys,13.6%,26.6%,11%,-3%,19%
Maruti,19%,58.5%,16%,30%,12%
Mahindra&Mahindra,15.4%,18.4%,18%,24%,19%
Airtel,18.5,48.9,15,49,57
Tata_Steel,12.5,33.2,-2,10,15
NTPC,8.33,51.1,2,17,28
Eternal,2.97,0.0,97,33,2
